experiment_date,animal_name,experiment_outcome,run_preprocessing,run_ephys_analysis,load_for_data_pool,best_fm_rec,unit2highlight,current_status,animal_dirpath,computer,drive,day_post_implant,probe_type,manipulation,num_single_units,Visually responsive units?,noise notes (any noise?),drift notes (large drift?),wn experiment and analysis notes,sparsenoiseflash experiment and analysis notes,gratings experiment and analysis notes notes,fm experiment and analysis notes,other analysis notes,Full analysis status (finished/incomplete),other
3/2/21,EE12P3LT,?,,FALSE,FALSE,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\030221\EE12P3LT,goeppert,nlab-nas,,,,,,,,,,,,,,
3/8/21,EE8P7LT,good,FALSE,FALSE,TRUE,,12,ephys analysis complete,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\030821\EE8P7LT,goeppert,nlab-nas,1,64ch,none,2,yes; one clear RF. MUA removed from analysis,low noise,~10 um,quick finished,,,,,,
3/8/21,EE8P7RT,good,FALSE,FALSE,TRUE,,0,ephys analysis complete,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\030821\EE8P7RT,goeppert,nlab-nas,1,16ch,none,4,clear RFs,low noise,very little drift,,,,,,,
3/8/21,EE11P13LTRN,good,FALSE,FALSE,TRUE,,10,ephys analysis complete,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\030821\EE11P13LTRN,goeppert,nlab-nas,1,64ch,none,10-15,clear RFs,low noise,very little drift (<5um),,,,,,,
3/9/21,EE8P7RT,?,FALSE,,,,,needs everything,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\030921\EE8P7RT,goeppert,nlab-nas,2,16ch,none,2,,low noise,very little drift,,,,,2 units but they're probably the same cell,,
3/9/21,EE11P13LTRN,good,FALSE,FALSE,TRUE,,0,memory error on fm1 ephys,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\030921\EE11P13LTRN,goeppert,nlab-nas,2,64ch,none,10-15,clear RFs,low noise,very little drift (<5um),,,,,,,
3/10/21,EE11P13LTRN,good,FALSE,FALSE,TRUE,,12,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\031021\EE11P13LTRN,goeppert,nlab-nas,3,64ch,none,10-15,clear RFs,low noise,very little drift (<5um),,,,,,,
3/16/21,EE8P8LT,unsure (2 single units),?,?,,,2,ephys analysis complete,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\031621\EE8P8LT,goeppert,nlab-nas,1,64 ch,none,3,maybe,low noise,very little drift (<3um),quick + full,,,,,finished,
3/16/21,EE8P8RT,good,FALSE,FALSE,TRUE,,6,ephys analysis complete,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\031621\EE8P8RT,goeppert,nlab-nas,1,64ch,none,6,Yes,some 60Hz noise,very little drift (<5um),quick  + full,,,,,,
3/17/21,EE8P8LT,unsure,?,?,,,0,ephys analysis complete,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\031721\EE8P8LT,goeppert,nlab-nas,2,64ch,none,4,maybe,low noise,very little drift (<5um),quick + full,,,,,,
3/17/21,EE8P8RT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\031721\EE8P8RT,goeppert,nlab-nas,2,64ch,none,,no,,,,,,,,analysis not performed - no useful units,
3/18/21,EE8P8RT,unsure,?,?,,,16,ephys analysis complete,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\031821\EE8P8RT,goeppert,nlab-nas,3,64ch,none,10,maybe,maybe some 60Hz noise,very little drift (<3um),quick + full,,,,,,
3/18/21,EE8P8LT,not useful,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\031821\EE8P8LT,goeppert,nlab-nas,,,none,,no,,,,,,,,analysis not performed - no useful units,
3/29/21,EE14P1LN,?,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\032921\EE14P1LN,goeppert,nlab-nas,,,,,,,,,,,,,,
3/29/21,EE14P1RN,not useful (not V1),,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\032921\EE14P1RN,goeppert,nlab-nas,,,,,,,,,,,,,,
3/30/21,EE14P1RN,?,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\033021\EE14P1RN,goeppert,nlab-nas,,,,,,,,,,,,,,
3/30/21,EE14P1RT,?,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\033021\EE14P1RT,goeppert,nlab-nas,,,,,,,,,,,,,,
4/1/21,EE14P1TT,?,,,,,,,\\goeppert\nlab-nas\freely_moving_ephys\ephys_recordings\040121\EE14P1TT,goeppert,nlab-nas,,,,,,,,,,,,,,
